題號,答案,題目,選項A,選項B,選項C,選項D
1,C,下列何者為《傷寒論》大陷胸丸之組成？,大黃.芒硝.甘遂,大黃.芒硝.甘遂.桃仁.赤芍.牛膝.厚朴.木香,芒硝.葶藶子.甘遂.杏仁.白蜜.大黃,大黃.甘遂.厚朴.枳實.木香
2,C,有關《金匱要略》三物備急丸之功用，下列何者最適宜？,溫腎益精，潤腸通便,潤腸泄熱，行氣通便,攻逐寒積,瀉結泄熱
3,B,下列何方可治冷積內停，脾陽不足的便秘？,《溫病條辨》新加黃龍湯,《備急千金要方》溫脾湯,《景岳全書》濟川煎,《傷寒論》理中湯
4,C,張先生主訴惡寒.發熱，無汗，頭痛，鼻塞，咳嗽痰白，胸膈滿悶，倦怠無力，氣短懶言，經醫師診察舌苔 白，脈弱。最宜下列何方？,《傷寒論》麻黃附子細辛湯,《攝生眾妙方》荊防敗毒散,《和劑局方》參蘇飲,《外臺秘要》葱白七味飲
5,B,下列解表劑之加減法何者最不適宜？,《傷寒論》桂枝湯證若兼有項背強，加葛根,《此事難知引張元素方》九味羌活湯證，若濕重胸滿者，倍生地，加桔梗,《溫病條辨》銀翹散證若見胸悶，可加藿香.鬱金,《小兒藥證直訣》人參敗毒散證，若正氣不虛且表邪重者，去人參加荊芥.防風
6,D,下列關於「十劑」之敘述，下列何者最不適宜？,「通」可行滯,「泄」可啟閉,「滑」可去著,「補」可固脫
7,C,"關於《醫方集解》益氣聰明湯，下列敘述正確者共幾項？①可治清陽不升之視物不清、失眠健忘等證 ②方中
葛根、升麻、蔓荊子能入太陽，鼓動膀胱氣化，上達頭目 ③黃耆補中益氣升陽，為主藥 ④黃柏補腎生水，
為佐藥",1,2,3,4
8,B,下列方劑中，何者之組成不含《和劑局方》四君子湯？,《太平惠民和劑局方》人參養榮湯,《景岳全書》泰山磐石散,《小兒藥證直訣》七味白朮散,《小兒藥證直訣》異功散
9,B,下列方劑之敘述，何者最適宜？,《丹溪心法》玉屏風散主治之汗證，以夜間睡臥時出汗為主,《脾胃論》補中益氣湯能健脾益氣.升陽舉陷,《溫病條辨》加減復脈湯煎煮用酒有助通血脈之意,《柳州醫話》一貫煎宜用於肝鬱脾虛之?痛
10,B,42歲男性，患股溝濕疹，陰囊潮濕，常感身體疲乏無力，小便黃赤，口苦，舌紅苔黃膩，脈滑數。治以下列 何方劑最適宜？,《景岳全書》柴胡疏肝散,《醫方集解》龍膽瀉肝湯,《醫宗金鑑》知柏地黃丸,《醫學正傳》三妙丸
11,C,"關於《小兒藥證直訣》瀉白散，下列敘述正確的有幾項？①以地骨皮為主藥 ②與《傷寒論》竹葉石膏湯相
同的組成藥物為粳米、甘草 ③作用為瀉肺中伏熱 ④主治證候之舌脈象為舌紅苔黃、脈細數",1,2,3,4
12,C,有關藥物劑量比例，下列何者最不適宜？,《小兒藥證直訣》六味地黃丸方中，熟地黃：山藥：山茱萸為8：4：4,《金匱要略》腎氣丸方中，乾地黃：山藥：山茱萸為8：4：4,《景岳全書》右歸丸方中，熟地黃：山藥：山茱萸為8：4：4,《景岳全書》左歸丸方中，熟地黃：山藥：山茱萸為8：4：4
13,B,下列何者非《景岳全書》右歸飲和《景岳全書》右歸丸共同的藥物組成？,山藥,鹿角膠,枸杞,杜仲
14,D,下列藥物何者非《本草衍義》桑螵蛸散的組成？,遠志,人參,龍骨,益智仁
15,A,下列藥物（黃連.桂枝.乾薑.人參.半夏.炙甘草)可共同組成《傷寒論》何方劑？,黃連湯,半夏瀉心湯,黃芩湯,生薑瀉心湯
16,A,有關《傅青主女科》易黃湯的組方原理與臨床應用，下列何者最不適宜？,用白朮與芡實補脾益腎，固濇止帶，為方中主藥,以黃柏燥濕清熱，車前子清熱利濕為佐藥,本方功能補腎清熱，去濕止帶,方中黃柏宜以鹽水炒，車前子以酒炒
17,D,有關《醫方集解》金鎖固精丸的組方與臨床使用之敘述，下列何者最不適宜？,方中以沙菀蒺藜補腎濇精為主藥,蓮肉交通心腎，芡實補脾固腎，為次藥，以加強補腎固精作用,龍骨.牡蠣.蓮蕊鬚收斂止遺固脫，共為佐藥,為加強益腎效果，使用時宜以米湯送服
18,C,下列方劑何者主治脾胃虛寒，兼有外感表證，瀉利不止，心下痞鞕，發熱.惡寒，表裏不解，協熱下利？,《傷寒論》葛根芩連湯,《和劑局方》藿香正氣散,《傷寒論》桂枝人參湯,《傷寒論》理中湯
19,A,"有關《金匱要略》黃土湯之敘述，下列錯誤有幾項？1.治脾陽不足，對血失去統攝之權所導致之證 2.以黃
芩止血且可佐制溫熱之藥 3.以白芍、阿膠補益陰血之不足，亦可制約白朮、附子之溫燥傷血 4.以伏龍肝
溫中收澀止血，為主藥",1,2,3,4
20,A,《金匱要略》橘皮竹茹湯之敘述，下列何者最適宜？,治療主證為胃虛有熱，氣上逆所致,生薑為方中主藥（君藥),竹茹為方中次藥（臣藥),人參.甘草.大棗益氣和胃為方中佐使藥
21,A,下列何者為《傅青主女科》生化湯之組成？,炮薑.全當歸.川芎.桃仁.炙甘草,全當歸.川芎.桃仁.紅花.炮薑,炮薑.全當歸.川芎.白芍.桃仁,全當歸.川芎.桃仁.桂枝.炮薑
22,D,下列那個方劑組成沒有烏藥？,《景岳全書》暖肝煎,《濟生方》四磨飲子,《婦人大全良方》縮泉丸,《濟生方》橘核丸
23,B,《濟生方》橘核丸，方中何種藥物行氣止痛效果佳，但其性味苦寒，因此需炒用以減輕其苦寒之性？,木香,川楝子,延胡索,橘核
24,B,下列何藥是《丹溪心法》小薊飲子的組成，但卻不包含在《小兒藥證直訣》導赤散的組成中？,荷葉,當歸,石膏,甘草梢
25,D,下列處方，何者的製服法沒有建議使用酒？,《傅青主女科》生化湯,《醫林改錯》通竅活血湯,《醫學發明》復元活血湯,《醫林改錯》血府逐瘀湯
26,D,下列各項敘述，何者最不適宜？,《攝生眾妙方》定喘湯功用為宣肺降氣，主治風寒外束，痰熱蘊肺,《傷寒論》麻杏石甘湯功用為瀉肺降氣，主治肺熱壅盛,《傷寒論》小青龍湯治風寒外束，痰飲內停之表裏俱寒的喘證,《和劑局方》蘇子降氣湯治上虛下實證的喘證
27,B,關於《醫門法律》清燥救肺湯與《慎齋遺書》百合固金湯的比較，下列敘述何者正確？,兩方組成均含有麥門冬.生地黃.甘草,清燥救肺湯宣肺的力量甚於百合固金湯,清燥救肺湯主要治療咳嗽痰少，痰中帶血，兼見咽喉乾燥；百合固金湯主要用於治療乾咳無痰.心煩口渴， 兼見口鼻乾燥,清燥救肺湯主要治療肺胃同病，燥傷陰分；百合固金湯則主要用於治療燥邪犯肺，肺腎陰傷
28,A,下列何者為《外科正宗》消風散的組成藥物？,知母.石膏,白朮.苦參,蟬蛻.殭蠶,木通.滑石
29,C,張先生主訴皮膚出疹色紅，瘙癢抓破後滲出津水，經診察苔白，脈浮數有力，下列何方最適宜？,《醫方集解》龍膽瀉肝湯,《攝生眾妙方》荊防敗毒散,《外科正宗》消風散,《重訂嚴氏濟生方》當歸飲子
30,D,下列那些藥物為《和劑局方》川芎茶調散之組成？,細辛.防風.獨活,連翹.川芎.荊芥,白芷.羌活.獨活,羌活.防風.薄荷
31,C,有關《醫學衷中參西錄》鎮肝息風湯的敘述，下列何者最適宜？,主治肝腎陰虧，肝陽上亢，血隨氣逆，故重用代赭石引血下行,方中選用代赭石.?龍骨和?牡蠣降逆潛陽,生用麥芽，可順肝木之性，使不抑鬱,方中使用龜板.白芍.玄參和麥冬滋養陰液，以制陽亢
32,D,有關《醫學衷中參西錄》玉液湯的敘述，下列何者最不適宜？,主治腎虛胃燥之消渴病,重用生山藥為君藥，補脾固腎,以黃耆大補肺氣，以益腎水之上源,以石斛.玉竹滋胃陰，潤燥止渴
33,C,下列那些藥物為《楊氏家藏方》牽正散之組成(1)地龍(2)殭蠶(3)全蠍,僅(1)(2),僅(1)(3),僅(2)(3),僅(1)(2)(3)
34,B,關於清熱化痰劑，下列敘述何者錯誤？,患者證見發熱.咳嗽.痰黃.咳出不暢.氣急.嘔噁.舌質紅.苔黃膩.脈滑數可用清熱化痰劑，例如清氣 化痰丸,清熱化痰劑包括清氣化痰丸.小陷胸湯.二陳湯等,清氣化痰丸組成為膽星.半夏.陳皮.杏仁.枳實.瓜蔞.黃芩.茯苓。其中膽南星清熱化痰，開其壅塞為 主要藥物,痰多者，可用清氣化痰丸加貝母以增強化痰之力
35,A,關於《韓氏醫通》三子養親湯組成與加減，下列敘述何者錯誤？,萊菔子溫肺利氣，利膈消痰，為方中主要藥物,蘇子降氣行痰，止咳平喘，為方中次藥,痰多而稀：可加乾薑.細辛,胸悶氣促.痰多不易咳者：可加杏仁.厚朴
36,C,關於祛暑劑，下列敘述何者錯誤？,夏天感受暑邪而發病，稱為暑病,暑性炎熱，易傷津耗氣，暑病多氣津兩傷之證,暑病夾濕，濕性重濁，發病較緩，傳變亦較慢,祛暑解表.祛暑清熱.祛暑利濕及祛暑益氣均為祛暑常用之法
37,B,44歲男性患者，反覆發燒.寒戰，伴見胸?不適，嘔吐不止，鬱鬱微煩，心下.上腹部痞硬，大便不解，舌 苔黃，脈弦數有力。下列何組成最適宜？,大黃.枳實.厚朴.芒硝,柴胡.半夏.黃芩.生薑.大棗.芍藥.枳實.大黃,葛根.黃芩.黃連.甘草,石膏.麻黃.香豉.黃連.黃柏.黃芩.梔子
38,D,關於《校注婦人良方》仙方活命飲，下列敘述何者錯誤？,癰腫初起，屬於陽證者，如紅腫疼痛者，均可適用,陰證瘡瘍者禁用,氣陰不足者，可加黃耆.沙參,癰腫已潰者，仍可使用
39,C,有關《醫學心悟》半夏白朮天麻湯之敘述，下列何者最適宜？,主治膽胃不和.痰濁內擾之證,以白朮.天麻為其君藥,以眩暈，嘔噁，舌苔白膩為主要之辨證關鍵,另有李東垣之半夏白朮天麻湯主治風痰上擾陽明頭痛
40,D,有關《丹溪心法附餘》礞石滾痰丸與《醫學心悟》定癇丸之比較，下列何者最適宜？,礞石滾痰丸所治之證為寒痰久積不去之證,定癇丸所治之證為寒痰癲癇之證,兩方皆有膽星.石菖蒲.茯神，用於祛痰安神,兩方皆有孕婦者慎用或忌用之禁忌
41,C,能祛風止癢.定驚.止抽搐，下列何藥物最適宜？,五加皮,千年健,蘄蛇,威靈仙
42,B,祛風濕藥物中，有強筋健骨之功，下列何藥物最適宜？,獨活,千年健,桑枝,松節
43,C,下列藥物之敘述，何者最不適宜？,丁香可溫中降逆，又能溫腎助陽,丁香可應用於胃冷壅脹，嘔噦呃逆泄利,蓽澄茄可應用於食滯飽脹，肺熱咳嗽,蓽澄茄可應用於寒鬱中焦，心腹刺痛，呃逆嘔吐
44,D,有關羌活功能，下列何者最適宜？,用於風寒夾濕，項背強痛，骨節酸痛，以其活血通絡,氣雄而散，入足太陽，以理伏風,氣緩善搜，入足少陰，以理游風,散肌表八風之邪，搜肝風
45,C,下列何藥辛，溫。入肺.脾經。行氣和中，安胎，可解魚蟹毒？,升麻,淡豆豉,紫蘇,藁本
46,A,下列何者與佛手功能相似，皆為疏肝理氣，和中化痰？,香櫞,柴胡,木香,丁香
47,B,有關利水滲濕藥的敘述，下列何者最適宜？,能通利大便，排除積滯.水飲,亦稱利尿通淋藥,腸道積滯.實熱內結及水腫停飲,易傷胃氣，奏效即止
48,B,有關甘松的功效，下列何者最適宜？,行氣散結，養血和血,芳香健胃，行氣止痛,行氣止痛，解毒消腫,行氣解鬱，和血散瘀
49,D,有關利水滲濕藥之敘述，下列何者最不適宜？,本類藥物能滲泄水濕，性味以甘淡平或微寒為多,適用於淋證.痰飲.濕溫,利水滲濕藥應用不當，容易耗傷陰液,利水滲濕藥均能燥濕健脾
50,B,能通行十二經，無所不至。能引補氣藥.補血藥.發散藥.溫暖藥的藥物，下列何者最適宜？,防風,附子,甘草,陳皮
51,C,石膏治傷寒，鬱結無汗，陽明頭痛，日晡潮熱，肌肉壯熱，下列何證最適宜？,為蕩熱除濕之要品,為除煩安神之要品,為發斑發疹之要品,為傷寒自汗之要品
52,D,蒲公英用途，下列何者最適宜？,十二經瘡家聖藥,消渴要藥,楊梅惡瘡主藥,通淋妙品
53,B,具燥濕，祛風，逐水，殺蟲的功效，下列何者最適宜？,蛇床子,苦參,龍膽,百部
54,A,用於大便秘結，肝經實熱，小兒疳積；外用治療癬瘡，下列何者最適宜？,蘆薈,大黃,番瀉葉,山楂
55,C,可逐飲祛痰，治三焦水飲，咳喘胸滿.小便不利，下列何者最適宜？,郁李仁,芒硝,芫花,巴豆
56,C,能溫經止血，主要用於虛寒性的出血病證，對婦女崩漏下血尤為適宜，下列何藥物最適宜？,地榆,茜草,艾葉,蒲黃
57,A,"辛散苦泄，溫通行滯，性善下降而破血攻堅，其氣味厚濁，用於瘀血阻滯的經閉、癥瘕等證，臨床多入丸劑
使用之，下列何藥物最適宜？",乾漆,血竭,丹參,鬱金
58,B,關於活血祛瘀藥的敘述，下列何者最適宜？,根據其作用強弱的不同：依次為和血、行血、活血散瘀、破血逐瘀、化瘀止血之分,具有行血、散瘀、通經、利痹、消腫及定痛等功效,使用活血祛瘀藥時，常配合止血藥，以增強?血散瘀的作用,活血祛瘀藥多黏膩，妨礙消化，故凡濕濁中阻、脘腹脹滿、食少便溏者，不宜應用
59,C,關於延胡索的描述，下列何者最適宜？,具有行氣止痛，降逆調中，溫腎納氣的功效,具有行氣止痛，溫中和胃的功效,既能活血，又能行氣，具有良好的止痛功效,具有活血行氣止痛，消腫生肌的功效
60,C,關於自然銅的敘述，下列何者最適宜？,為天然的銅礦石,能補肝腎，強筋骨,能接骨以療折傷，為傷科要藥,補而不滯，行而不峻，為女科要藥
61,A,臨床常用藥對三稜.莪朮除能破血行氣外，尚包括下列何種功效？,消積止痛,止血生肌,接骨療傷,涼血祛風
62,C,具有補益精血.潤燥滑腸之功效，下列何藥物最適宜？,益智仁,鹿茸,黑脂麻,龍眼肉
63,B,具有溫補腎陽.納氣.固精縮尿.溫脾止瀉之功效，下列何藥物最適宜？,骨碎補,補骨脂,狗脊,續斷
64,D,益智仁的敘述，下列何者最不適宜？,溫脾開胃,縮尿,暖腎固精,定喘
65,B,有關玉竹的功效敘述，下列何者最不適宜？,滋陰潤肺,益精明目,生津止渴,養胃
66,C,具有補肺氣.助腎陽.納氣定喘.益精血之功效，下列何者最適宜？,益智仁,骨碎補,蛤蚧,菟絲子
67,C,有關飴糖的敘述，下列何者最不適宜？,為米.小麥等種子磨成粉，經過蒸煮，加入麥芽，微火熬成,小建中湯用飴糖以補脾益氣,滑腸通便,含大量麥芽糖
68,D,黃藥子的敘述，下列何者最不適宜？,民間常誤當為何首烏來使用而造成肝毒性,脾胃虛弱的病人慎用,有散結消癭之功,薯蕷科植物黃獨的根
69,D,竹茹的敘述，下列何者最不適宜？,生用清化熱痰,薑汁炙用止嘔,胃寒及傷食之嘔吐忌服,具活血.止血作用
70,C,浙貝母及川貝母的敘述，下列何者最適宜？,川貝母以甘味為主，性偏於泄，風熱犯肺或痰熱郁肺之咳嗽用之為宜,浙貝母以苦味為主，性偏於潤，肺熱燥咳.虛勞咳嗽用之為宜,清熱散結之功，為川貝母.浙貝母共有，但以浙貝母為勝,反烏頭。脾胃虛寒及有熱痰者不宜
71,A,下列何者非《臺灣中藥典》收載之毒劇中藥？,紅芽大戟,芫花,洋金花,生甘遂
72,B,含有大黃酚及大黃酸，具有清肝益腎.祛風明目，潤腸通便作用，下列何藥最適宜？,大黃,決明子,虎杖,蘆薈
73,A,下列何者為開竅醒神回甦之要藥？,麝香.冰片,羚羊角.蘇合香,石菖蒲.乳香,蘇合香.樟腦
74,D,使君子使用的藥用部位，下列何者最適宜？,根部,樹皮,全草,果實
